type	date	text	polarity	subjectivity	username	location	lat long formula	geo	follower count	retweets	favorites
Dog Park	Mon Apr 11 23:46:56 +0000 2016	This place is so cute &amp; has a park &amp; dog park! (@ Vineyard Terrace Apartments) on #Yelp https://t.co/Nv2Q9DrWhl	0.625	1	NapaValleyVegan	"Napa, California"	"38.2971367, -122.2855292"	"38.2971367, -122.2855292"	132	0	0
Pet Food	Wed Apr 13 23:04:50 +0000 2016	The staff here is sooo awesome!! (@ Pet Food Express) on #Yelp https://t.co/2AzmStT6Wv	1	1	NapaValleyVegan	"Napa, California"	"38.2971367, -122.2855292"	"38.2971367, -122.2855292"	184	0	3
Petco	Fri Apr 08 02:35:00 +0000 2016	@KLD810 it's ok. It's no OPACY. Petco is nicer than Chase. I don't understand the pool. Doesn't make sense.	0.5	0.5	SportsAndCrap	"California, MD"	"38.3004029, -76.5074541"	"38.3004029, -76.5074541"	371	11	0
Dog Treats	Mon Apr 11 22:29:05 +0000 2016	RT @VBAdoptablepets: The cupboards are bare....We are in need of dog treats! If you could be so kind to donate some we would greatly... httÉ??	0.7	0.825	rcrockett	"Ocean City, Maryland"	"38.335242, -75.0851852"	"38.335242, -75.0851852"	12217	0	0
Petsmart	Sat Apr 16 20:25:16 +0000 2016	"Why It Matters That PetSmart Discriminates Against Pit Bulls
https://t.co/pthVaCbbp2
 https://t.co/aI9FUw4Rs9 https://t.co/vRLYCtgOjR"	0	0	rcrockett	"Ocean City, Maryland"	"38.335242, -75.0851852"	"38.335242, -75.0851852"	1907	0	1
Orijen	Sat Apr 16 18:15:08 +0000 2016	Jet came to get Orijen Puppy food and  one of our new collars! She looks SO cute in it! ¢?™?	0.397727273	0.727272727	westernranchpet	"Vacaville, California"	"38.341907, -121.901549843343"	"38.341907, -121.901549843343"		23	
At Petco	Sat Apr 09 22:51:01 +0000 2016	I just checked in @Petco with #mPLUSPlaces Download today!  https://t.co/sD5OBtRCUM	0	0	AlexNikolich9	"Prospect, KY"	"38.345068, -85.6155169"	"38.345068, -85.6155169"	616	26	0
Petco	Sat Apr 09 22:51:01 +0000 2016	I just checked in @Petco with #mPLUSPlaces Download today!  https://t.co/sD5OBtRCUM	0	0	AlexNikolich9	"Prospect, KY"	"38.345068, -85.6155169"	"38.345068, -85.6155169"	831	0	0
Pet Food	Sun Apr 10 20:14:21 +0000 2016	"Don't forget.... You can have your pet's medications, flea/heartworm preventatives, and even food delivered right... https://t.co/DtXC1PWA7u"	0.285714286	0.535714286	AnimalCareWV	"Charleston, WV"	"38.3505995, -81.6332811"	"38.3505995, -81.6332811"	654	0	0
Pet Food	Sun Apr 10 20:12:27 +0000 2016	"Don't forget... You can have your pet's medications, flea/heartworm preventatives, and even food delivered right... https://t.co/6mit4TZ4FM"	0.285714286	0.535714286	AnimalCareWV	"Charleston, WV"	"38.3505995, -81.6332811"	"38.3505995, -81.6332811"	12	0	0
Taste of the Wild	Sat Apr 09 12:38:50 +0000 2016	"Saturday SALE. 50# Oilers $4.00 off per bag. 
Also. $4.00 off Taste of the Wild 30# bags
         $2.00 off Taste... https://t.co/GocmdK22vY"	0.1	0.4	HighlandFeedSup	"Highland, MI"	"38.3607485, -79.55141"	"38.3607485, -79.55141"	1700	15	0
Taste of the Wild	Sat Apr 09 12:38:50 +0000 2016	"Saturday SALE. 50# Oilers $4.00 off per bag. 
Also. $4.00 off Taste of the Wild 30# bags
         $2.00 off Taste... https://t.co/GocmdK22vY"	0.1	0.4	HighlandFeedSup	"Highland, MI"	"38.3607485, -79.55141"	"38.3607485, -79.55141"	14638	15	0
Taste of the Wild	Sat Apr 09 12:38:50 +0000 2016	"Saturday SALE. 50# Oilers $4.00 off per bag. 
Also. $4.00 off Taste of the Wild 30# bags
         $2.00 off Taste... https://t.co/GocmdK22vY"	0.1	0.4	HighlandFeedSup	"Highland, MI"	"38.3607485, -79.55141"	"38.3607485, -79.55141"	63	0	0
Natural Balance	Tue Apr 12 17:44:49 +0000 2016	Thinking about buying Natural Balance Frog Pads? Read our latest review of the pr https://t.co/66vtQ9jtSC via @yotpo	0.3	0.65	edsshoofcare	"Penrose, Colorado"	"38.4116595, -105.003234665531"	"38.4116595, -105.003234665531"	36310	0	0
Dog Park	Sat Apr 16 21:20:35 +0000 2016	What if Disney world had a dog park??? Like families could bring their dogs there!	0	0	BenFred21	"Huntington, WV"	"38.4192496, -82.4451539"	"38.4192496, -82.4451539"	2565	0	0
Petco	Fri Apr 08 03:17:52 +0000 2016	RT @Petco: Sleeping beauties! Show us your pet enjoying some shut-eye &amp; you could win a $100 gift card: https://t.co/ia1JpOeYZq https://t.cÉ??	0.65	0.5	AnimalCare313	"Huntington, WV "	"38.4192496, -82.4451539"	"38.4192496, -82.4451539"	232	1	0
Healthy Dog Food	Tue Apr 12 02:00:50 +0000 2016	A great talk about healthy #dog food: https://t.co/72TLFgLY7r	0.65	0.625	Kami_McBride	"Graton, California"	"38.4386185, -122.865697575343"	"38.4386185, -122.865697575343"	858	2	0
Healthy Pet Food	Tue Apr 12 02:00:50 +0000 2016	A great talk about healthy #dog food: https://t.co/72TLFgLY7r	0.65	0.625	Kami_McBride	"Graton, California"	"38.4386185, -122.865697575343"	"38.4386185, -122.865697575343"	763	0	0
Healthy Pet Food	Tue Apr 12 02:00:50 +0000 2016	A great talk about healthy #dog food: https://t.co/72TLFgLY7r	0.65	0.625	Kami_McBride	"Graton, California"	"38.4386185, -122.865697575343"	"38.4386185, -122.865697575343"	414	0	0
Healthy Pet Food	Tue Apr 12 02:00:50 +0000 2016	A great talk about healthy #dog food: https://t.co/72TLFgLY7r	0.65	0.625	Kami_McBride	"Graton, California"	"38.4386185, -122.865697575343"	"38.4386185, -122.865697575343"	1766	0	0
Healthy Pet Food	Tue Apr 12 02:00:50 +0000 2016	A great talk about healthy #dog food: https://t.co/72TLFgLY7r	0.65	0.625	Kami_McBride	"Graton, California"	"38.4386185, -122.865697575343"	"38.4386185, -122.865697575343"	237	0	0
Rescue Dog	Mon Apr 11 23:56:44 +0000 2016	"RT @BirdsBlues: @MVZaGoGo  @azsweetheart013 PLEASE RT!! Abandoned without a second thought, senior dog has little chance of rescue https://É??"	-0.09375	0.25	TIMSBIGGESTFAN	"SANTA ROSA, CALIFORNIA"	"38.4404675, -122.7144313"	"38.4404675, -122.7144313"	487	1	0
At Petsmart	Tue Apr 12 00:38:33 +0000 2016	Picked up a @PetSmart frisbee for my pup Penny on #NationalPetDay https://t.co/znNbMh9cGC	0	0	jessicarnewman	"Harrisonburg, Virginia"	"38.4493315, -78.8688832"	"38.4493315, -78.8688832"	3238	0	0
Petsmart	Tue Apr 12 00:38:33 +0000 2016	Picked up a @PetSmart frisbee for my pup Penny on #NationalPetDay https://t.co/znNbMh9cGC	0	0	jessicarnewman	"Harrisonburg, Virginia"	"38.4493315, -78.8688832"	"38.4493315, -78.8688832"	3238	0	0
Dog Treats	Fri Apr 15 21:50:58 +0000 2016	@Lin_Manuel @leslieodomjr  Aaron Burr dog treats! https://t.co/279gk27uNX	0	0	ATSDMT	"High Ridge, MO"	"38.4589432, -90.5365125"	"38.4589432, -90.5365125"	49329	15	0
Hollywood Feed	Fri Apr 01 20:59:39 +0000 2016	RT @streetdogfdn: Adoption Day this Saturday at Hollywood Feed Germantown. Meet Adoptable Dogs! #sdfAdoptable https://t.co/gtzHgebiLD	0	0	demonshane	"West Virginia, USA"	"38.4758406, -80.8408414"	"38.4758406, -80.8408414"		1	
Hollywood Feed	Fri Apr 01 20:59:39 +0000 2016	RT @streetdogfdn: Adoption Day this Saturday at Hollywood Feed Germantown. Meet Adoptable Dogs! #sdfAdoptable https://t.co/gtzHgebiLD	0	0	demonshane	"West Virginia, USA"	"38.4758406, -80.8408414"	"38.4758406, -80.8408414"		1	
Natural Balance	Wed Apr 13 20:16:13 +0000 2016	"Supplies are needed at #PURRWV: Paper Towels, Fabuloso cleaner, training pads, Natural Balance canned kitten and... https://t.co/Q87ire8QJR"	0.1	0.4	purrwv	"West Virginia, USA"	"38.4758406, -80.8408414"	"38.4758406, -80.8408414"		32	
Pet Food	Sun Apr 10 22:34:46 +0000 2016	"I just got a FREE trial bag of Petcurean premium pet food, I think your furry friend would love one too! https://t.co/7Hw3zsb8Yn"	0.5125	0.7	meika1978	"West Virginia, USA"	"38.4758406, -80.8408414"	"38.4758406, -80.8408414"		24	
Pet Food	Sun Apr 10 20:37:04 +0000 2016	Win Free Pet Food for a Year https://t.co/un3wPnQUAT via @wholemoms	0.6	0.6	meika1978	"West Virginia, USA"	"38.4758406, -80.8408414"	"38.4758406, -80.8408414"		51	
Dog Image	Sat Apr 16 21:50:04 +0000 2016	RT @VeganCrusaders: Rameses Ram is top dog (sheep) in his new home! All the famous 5 now have sponsors! Yay :) #vegan #sheep #ram #love httÉ??	0.459090909	0.710909091	ddvegan	"Sonoma County, CA"	"38.5110803, -122.8473387"	"38.5110803, -122.8473387"	242	0	4
Dog Park	Sat Apr 16 21:38:30 +0000 2016	Jessie R.'s Review of Badger Dog Park - Healdsburg (5/5) on Yelp #SantaRosaYelp https://t.co/Iu1vFFCqAb https://t.co/3lENTHFrvU	0	0	TheCityofBlogs	"Sonoma County, Ca. "	"38.5110803, -122.8473387"	"38.5110803, -122.8473387"	154	0	0
Puppy Image	Sat Apr 16 21:47:57 +0000 2016	Contemplating what my parents would do if I just came home with this puppy I want to adopt ???? https://t.co/yO0BpH4ZRz	0	0	DanielXiong26	"Fenton, MI"	"38.5132838, -90.4401793"	"38.5132838, -90.4401793"	3298	1	1
At Petco	Sun Apr 10 21:36:53 +0000 2016	"RT @Petco: ""I nap. You buy."" #CutestCustomers (Pic: Ferragamo the #Boxer) https://t.co/njiBwlwBdO"	0	0	downeyjessica28	"Fenton, MO"	"38.5132838, -90.4401793"	"38.5132838, -90.4401793"	769	7	0
At Petsmart	Fri Apr 08 22:10:02 +0000 2016	RT @PetSmart: Join us in-store on 4/9 at 12pm for our Spring into Gear event. Learn more: https://t.co/2FmBJqUS9C https://t.co/orarlBkiOZ	0.5	0.5	hdawson80	"Belleville, IL"	"38.5200504, -89.9839934"	"38.5200504, -89.9839934"	1314	281	0
At Petsmart	Fri Apr 08 22:09:48 +0000 2016	RT @PetSmart: We're celebrating #NationalPetDay with @PetsMovie. Share your pet pics with #Pets411 and check back Monday! https://t.co/NMY2É??	0	0	hdawson80	"Belleville, IL"	"38.5200504, -89.9839934"	"38.5200504, -89.9839934"	537	281	0
At Petsmart	Wed Apr 13 20:52:37 +0000 2016	RT @PetSmart: Doesn't take much to win over @thedailywalter... what's your pet's catchphrase? https://t.co/2MzkMkal6Y	0.8	0.4	hdawson80	"Belleville, IL"	"38.5200504, -89.9839934"	"38.5200504, -89.9839934"	572	572	0
Fromm	Wed Apr 13 19:53:01 +0000 2016	"RT @usfmfaw: The annual Emerging Writers Festival continues tonight 7:30pm in Fromm, with writers Jill Talbot &amp; @NaomiWilliams https://t.coÉ??"	0	0	NaomiWilliams	"Davis, California"	"38.545379, -121.7445834"	"38.545379, -121.7445834"	38	1	2
Puppy Image	Sat Apr 09 00:05:44 +0000 2016	RT @RetrieverPics: Reasons to get a puppy: https://t.co/O00MOKhs11	0	0	__Skyward__	"Quantico Base, VA"	"38.56333, -77.4966629658728"	"38.56333, -77.4966629658728"	195	0	0
At Petco	Sat Apr 09 21:04:18 +0000 2016	"@UtahAnimals Just adopted Gingersnap at @Petco. Beautiful cat, going to a loving home. So excited."	0.608333333	0.9	Crashedata	"Moab, Utah"	"38.5738096, -109.5462145"	"38.5738096, -109.5462145"	614	0	0
Puppy Image	Wed Apr 13 00:11:48 +0000 2016	RT @thefemaleboook: Having a bad day? Here's a puppy eating a banana ??ç? https://t.co/yt5Hi4342Y	-0.7	0.666666667	SneadGabrielwqp	Sacramento	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	13	0	0
At Petco	Sat Apr 16 00:16:43 +0000 2016	I just checked in @Petco with #mPLUSPlaces Download today!  https://t.co/1W8puTNREj	0	0	karenpp3	"sacramento ,Ca"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	269	83	0
Petco	Sat Apr 16 00:16:43 +0000 2016	I just checked in @Petco with #mPLUSPlaces Download today!  https://t.co/1W8puTNREj	0	0	karenpp3	"sacramento ,Ca"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	1175	644	0
At Petsmart	Tue Apr 12 19:02:03 +0000 2016	"RT @PetSmart: ""Oh, I'm sorry, am I in your way?"" https://t.co/ssLdNuFMf0"	-0.5	1	Petsmart0050	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	3542	24	0
At Petsmart	Tue Apr 12 19:01:30 +0000 2016	"RT @PetSmart: Go tongues out today, and don't hold back! #TOT (IG hueythebully) https://t.co/J6yxWjIQEP"	0	0	Petsmart0050	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	207	1231	0
At Petsmart	Tue Apr 12 19:01:15 +0000 2016	RT @PetSmart: It's #springtime! Freshen up your pet's look at the grooming salon: https://t.co/6k095QvcWP (IG Casey_Marie90) https://t.co/BÉ??	0	0	Petsmart0050	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	10562	0	0
At Petsmart	Wed Apr 13 19:47:12 +0000 2016	RT @PetSmart: Doesn't take much to win over @thedailywalter... what's your pet's catchphrase? https://t.co/2MzkMkal6Y	0.8	0.4	Petsmart0050	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	3542	14	0
At Petsmart	Wed Apr 13 19:17:51 +0000 2016	RT @PetSmart: Doggies love #icecream too. Try our DIY recipe! https://t.co/tpOnGp7yZ5 https://t.co/WuvLotsGBS	0.625	0.6	Petsmart0050	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	22	248	0
At Petsmart	Wed Apr 13 19:17:28 +0000 2016	RT @PetSmart: Your cat's hygiene spans farther than just grooming. Learn more with @JacksonGalaxy: https://t.co/UA4UUvsVtv https://t.co/3BnÉ??	0.5	0.5	Petsmart0050	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	311	3193	0
At Petsmart	Fri Apr 15 22:59:27 +0000 2016	RT @JacksonGalaxy: Wanna grab lunch? Thx @PetSmart for offering -&gt; https://t.co/LlNE1brKsy #TeamCatMojo @PetmateProducts https://t.co/0O8WKÉ??	0	0	Petsmart0050	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	3491	0	0
Dog Food	Sat Apr 16 21:42:10 +0000 2016	RT @brawadis: Soooo my mom secretly recorded my dad tryna force my dog to eat his food .. Umm ????????????????????????????????????????????????????????????????????WHY ARE U PREGNANT https://tÉ??	-0.033333333	0.6	narcoticnat	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	496	1231	0
Dog Park	Tue Apr 12 00:35:55 +0000 2016	I've spoiled my dog with cold filtered water and now won't drink water at the dog park. #imthatdogowner #pretentiouspets #nationalpetday	-0.6	1	benjamin_tf	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	233	4357	0
Dog Park	Sat Apr 16 00:21:34 +0000 2016	If your dog doesn't like other dogs... Why would to bring it to a fucking dog park?!	-0.4375	0.5875	parabuzzle	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	3542	14	0
Dog Treats	Wed Apr 13 23:47:14 +0000 2016	@lalakeys @GovPressOffice  Are dog treats tax deductible?	0	0	kylebuis	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	19	9	0
Fromm	Tue Apr 12 01:08:42 +0000 2016	Come join us at the FREE #CincoDeMayoFestival st Southside Park  #Sacramento Sunday May 1st fromm 11am to 6pm https://t.co/l6zUyTuE8w	0.4	0.8	MichaelAngel916	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	5001	0	0
Natural Balance	Fri Apr 08 18:49:15 +0000 2016	RT @NaturalBalance: #FanFriday Bella and Maggie are ultra-fans of Natural Balance! Send your pet photos to nbfans@naturalbalanceinc.com! htÉ??	0.15625	0.4	Petsmart0050	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	757	1828	0
Natural Balance	Sat Apr 09 15:41:18 +0000 2016	"RT @theredpillpusha: Lava Rock can be beneficial for fire signs who are ""too fiery"", by bringing a natural balance with the blending of earÉ??"	0.1	0.4	dredawwgg	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	590	580	0
Natural Balance	Sat Apr 09 15:41:18 +0000 2016	"RT @theredpillpusha: Lava Rock can be beneficial for fire signs who are ""too fiery"", by bringing a natural balance with the blending of earÉ??"	0.1	0.4	dredawwgg	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	5789	12	0
Natural Balance	Fri Apr 15 22:55:53 +0000 2016	RT @NaturalBalance: #FanFriday Wyatt is a loyal Natural Balance L.I.D. fan! Send your pet photos to nbfans@naturalbalanceinc.com! https://tÉ??	0.244791667	0.616666667	Petsmart0050	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	108	647	0
Natural Balance	Fri Apr 15 22:55:53 +0000 2016	RT @NaturalBalance: #FanFriday Wyatt is a loyal Natural Balance L.I.D. fan! Send your pet photos to nbfans@naturalbalanceinc.com! https://tÉ??	0.244791667	0.616666667	Petsmart0050	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	3491	0	0
Pet Food	Wed Apr 13 00:01:02 +0000 2016	"Busy work day? Out of your pet's food? Buy Online, Pick Up In Store: https://t.co/7qbFaM9Alf #inspiredbypets #sacramento"	0.1	0.3	Petsmart0050	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	3491	0	0
Petsmart	Sun Apr 10 23:00:43 +0000 2016	Understanding the needs of your fish will help keep your aquarium harmonious. https://t.co/sw5woYfS8Q #inspiredbypets #sacramento	0	0	Petsmart0050	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	2286	18	0
Petsmart	Wed Apr 13 00:01:02 +0000 2016	"Busy work day? Out of your pet's food? Buy Online, Pick Up In Store: https://t.co/7qbFaM9Alf #inspiredbypets #sacramento"	0.1	0.3	Petsmart0050	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	550	4357	0
Petsmart	Tue Apr 12 23:01:07 +0000 2016	Save 25% off the Evening Bath and Brush for dogs after 4 pm M-TH. Learn more: https://t.co/bZw4Gb8lU7 #inspiredbypets #sacramento	0.5	0.5	Petsmart0050	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	3542	6	0
Petsmart	Thu Apr 14 00:00:46 +0000 2016	Are you aware that we offer a variety of grooming services for dogs &amp; cats? https://t.co/qkKhqy9Vlz #inspiredbypets #sacramento	0.25	0.25	Petsmart0050	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	2022	2	0
Petsmart	Wed Apr 13 23:00:38 +0000 2016	The key to house training a puppy? Keep it consistent https://t.co/lKVT2LWXQm Give us a call to talk with our trainer. #sacramento	0.125	0.625	Petsmart0050	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	1628	90	0
Petsmart	Sat Apr 16 00:01:09 +0000 2016	Put a LID* on It. Why your dog may need a*Limited Ingredient Diet* https://t.co/BNL8U5TANZ #Inspiredbypets #sacramento	0	0	Petsmart0050	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	203	1231	0
Petsmart	Sat Apr 16 21:01:08 +0000 2016	"Shopping for a new harness? Read ""Finding the Right Harness for Your Dog"" https://t.co/IIB7ceTBeL #inspiredbypets #sacramento"	0.211038961	0.49512987	Petsmart0050	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	650	3193	0
Rescue Dog	Fri Apr 08 03:07:13 +0000 2016	RT @cbslocal: Sacramento rescue dog donates blood to help kittens see https://t.co/vOHNfb006d	0	0	MidtownSacDogs	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	1757	527	0
Rescue Dog	Sat Apr 09 23:35:42 +0000 2016	"Tears of Joy for Buggy~ Celebrity and animal activist, Beth Ostrosky Stern helps rescue this special dog and... https://t.co/kGiSrVYdXA"	0.578571429	0.385714286	karenallman1	"Sacramento, CA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	367	1828	0
Fromm	Sat Apr 16 20:11:13 +0000 2016	"Education is identical with helping the child realize his potentialities. The opposite of education is manipulation.
~ Erich Fromm"	0	0	Humane_Being	"Sacramento, CA USA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	120	0	0
Fromm	Sat Apr 16 18:36:29 +0000 2016	"É??The task we must set for ourselves is not to feel secure, but to be able to tolerate insecurity.É?ù 
É?? Erich Fromm, The Art of Loving"	0.5	0.725	Humane_Being	"Sacramento, CA USA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	273	0	0
Fromm	Sat Apr 16 18:34:16 +0000 2016	"É??if i am what i have, and i lose what i have, who then am i?É?ù 
É?? Erich Fromm"	0	0	Humane_Being	"Sacramento, CA USA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	3491	1	0
Fromm	Sat Apr 16 18:32:37 +0000 2016	"É??In love the paradox occurs that two beings become one and yet remain two.É?ù 
É?? Erich Fromm"	0.5	0.6	Humane_Being	"Sacramento, CA USA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	167	30720	0
Fromm	Sat Apr 16 18:30:38 +0000 2016	"É??Not he who has much is rich, but he who gives much.É?ù 
É?? Erich Fromm"	0.2875	0.475	Humane_Being	"Sacramento, CA USA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	10	0	0
Fromm	Sat Apr 16 18:29:47 +0000 2016	"É??To die is poignantly bitter, but the idea of having to die without having lived is unbearable.É?ù 
É?? Erich Fromm"	-0.1	0.5	Humane_Being	"Sacramento, CA USA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	3775	0	0
Fromm	Sat Apr 16 18:27:48 +0000 2016	"É??Love is the only sane and satisfactory answer to the problem of human existence.É?ù 
É?? Erich Fromm"	0.166666667	0.566666667	Humane_Being	"Sacramento, CA USA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	188	0	0
Fromm	Sat Apr 16 18:27:21 +0000 2016	"É??That millions of people share the same forms of mental pathology does not make these people sane.É?ù 
É?? Erich Fromm, The Sane Society"	-0.05	0.1625	Humane_Being	"Sacramento, CA USA"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	12	0	1
At Petco	Mon Apr 11 00:08:31 +0000 2016	@Petco how long does your dollar per gal on aquariums go?	-0.05	0.4	dogsauntie	"Sacramento, California"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	83	5641	0
Petco	Mon Apr 11 00:08:31 +0000 2016	@Petco how long does your dollar per gal on aquariums go?	-0.05	0.4	dogsauntie	"Sacramento, California"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	3491	1	0
Pet Food	Sat Apr 09 21:02:47 +0000 2016	"Pets, music, and food. Sounds like a #perfectday! #petapalooza

Info: https://t.co/YYyRFxW1ap https://t.co/dgGSOCnXCO"	0	0	Sports1140KHTK	"Sacramento, California"	"38.5815719, -121.4943995"	"38.5815719, -121.4943995"	107	3	0
Petsmart	Sat Apr 16 00:04:51 +0000 2016	RT @AmyrlinDeanna: Graduation day challenges completed! Happy graduation!! #AcademySuperstars @KurtD_Salons @PetSmart_DaveK https://t.co/OGÉ??	1	1	ChewchewlorHill	"Millsboro,  De"	"38.5915023, -75.2913017"	"38.5915023, -75.2913017"	43	0	0
Puppy Image	Tue Apr 12 00:47:12 +0000 2016	@mcbridemelissa Hey did you see my puppy pic https://t.co/ZlHll2AKSD	0	0	carly_trelow	"O'Fallon, IL"	"38.5922715, -89.9112123"	"38.5922715, -89.9112123"	769	0	0
Petsmart	Wed Apr 13 23:05:00 +0000 2016	"Petsmart is hiring a #PetStylist #(Part Time), apply now! #Florissant #jobs https://t.co/hi43dpvjBf https://t.co/7ZU6eaifHz"	0	0	NeuvooSaintLo64	"Saint Louis, Missouri, US"	"38.6272733, -90.1978888"	"38.6272733, -90.1978888"	454	110	0
At Petco	Sun Apr 10 23:28:14 +0000 2016	@Petco why do your stores not match the pricing from your own website?	0.6	1	N8Orton	"Saint Louis, MO"	"38.6272733, -90.1978888"	"38.6272733, -90.1978888"	383	11	0
Petco	Sun Apr 10 23:28:14 +0000 2016	@Petco why do your stores not match the pricing from your own website?	0.6	1	N8Orton	"Saint Louis, MO"	"38.6272733, -90.1978888"	"38.6272733, -90.1978888"	453	0	0
Rescue Dog	Mon Apr 11 23:56:21 +0000 2016	"She Sees A Homeless Dog Sleeping With An Old Toy. But When She Comes Back, Unbelievable... https://t.co/ESetw6fRY8"	-0.05	0.4	birdsfansince66	"saint louis,MO"	"38.6272733, -90.1978888"	"38.6272733, -90.1978888"	3783937	2487	5530
Rescue Dog	Sun Apr 10 23:14:01 +0000 2016	RT @MyBrownNewfies: Search And Rescue Saturday -- SAR DOG BASICS https://t.co/q5fSvN3blS via @houndstooth4	0	0	krazy4pets	St Louis	"38.6272733, -90.1978888"	"38.6272733, -90.1978888"	1535	0	1
Dog Treats	Fri Apr 08 00:59:58 +0000 2016	Cutest bank withdrawal ever? More treats please! https://t.co/70J44i7YlO https://t.co/CSzmjRoBGf	0.625	0.5	firstcommunity	"St Louis, MO"	"38.6272733, -90.1978888"	"38.6272733, -90.1978888"	323	0	0
Pet Food	Sat Apr 09 00:05:41 +0000 2016	Pet food and Exercise Tips for a Healthy Cat https://t.co/xOOvBnV6Wb	0.5	0.5	MarieNeedyCBG	"St Louis, MO"	"38.6272733, -90.1978888"	"38.6272733, -90.1978888"	2116	0	0
Healthy Pet Food	Sat Apr 09 00:05:41 +0000 2016	Pet food and Exercise Tips for a Healthy Cat https://t.co/xOOvBnV6Wb	0.5	0.5	MarieNeedyCBG	"St Louis, MO"	"38.6272733, -90.1978888"	"38.6272733, -90.1978888"	4691	1	0
Healthy Pet Food	Sat Apr 09 00:05:41 +0000 2016	Pet food and Exercise Tips for a Healthy Cat https://t.co/xOOvBnV6Wb	0.5	0.5	MarieNeedyCBG	"St Louis, MO"	"38.6272733, -90.1978888"	"38.6272733, -90.1978888"	1091	4	0
Pet Food	Sat Apr 16 20:16:32 +0000 2016	I really thought that this was urban legend.  I'm so disgusted! What do you think of this article? https://t.co/hPRAeovV2o	-0.266666667	0.4	SydneyRVT	St. Louis	"38.6272733, -90.1978888"	"38.6272733, -90.1978888"	313592	8	7
Pet Food	Sat Apr 16 20:15:34 +0000 2016	FDA Admits Some Pet Food Sourced From Diseased Animals https://t.co/thMHNnYXwp	-0.6	0.75	SydneyRVT	St. Louis	"38.6272733, -90.1978888"	"38.6272733, -90.1978888"	20054	12	76
At Chewy	Tue Apr 12 01:01:37 +0000 2016	Become a @Chewy customer. First time customers who order through this link will earn us $20: https://t.co/j5Y9Z5OHmP	0.25	0.333333333	stray_haven	"St. Louis, MO"	"38.6272733, -90.1978888"	"38.6272733, -90.1978888"	66	0	0
At Chewy	Tue Apr 12 01:01:37 +0000 2016	Become a @Chewy customer. First time customers who order through this link will earn us $20: https://t.co/j5Y9Z5OHmP	0.25	0.333333333	stray_haven	"St. Louis, MO"	"38.6272733, -90.1978888"	"38.6272733, -90.1978888"	10569	0	0
